ex:h	c:Light	c:CO2	c:Temperature	c:DaylightHours	c:T_b	c:Thermaltime
403.0	0	392	21.3	12	3	0.7625
404.0	0	390	21.2	12	3	0.75833
405.0	0	392	21.1	12	3	0.75417
406.0	0	391	21.1	12	3	0.75417
407.0	0	393	21.0	12	3	0.75
408.0	50	390	21.5	12	3	0.77083
409.0	90	380	22.0	12	3	0.79167
410.0	98	375	21.8	12	3	0.78333
411.0	103	372	21.7	12	3	0.77917
412.0	100	370	21.6	12	3	0.775
413.0	98	372	21.5	12	3	0.77083
414.0	102	370	21.2	12	3	0.75833
415.0	97	373	21.8	12	3	0.78333
416.0	103	372	21.6	12	3	0.775
417.0	96	372	21.5	12	3	0.77083
418.0	100	380	21.0	12	3	0.75
419.0	50	390	21.4	12	3	0.76667
420.0	0	392	20.5	12	3	0.72917
421.0	0	391	20.9	12	3	0.74583
422.0	0	390	21.0	12	3	0.75
423.0	0	390	21.1	12	3	0.75417
424.0	0	390	21.0	12	3	0.75
425.0	0	390	20.8	12	3	0.74167
426.0	0	390	21.1	12	3	0.75417
427.0	0	392	21.3	12	3	0.7625
428.0	0	390	21.2	12	3	0.75833
429.0	0	392	21.1	12	3	0.75417
430.0	0	391	21.1	12	3	0.75417
431.0	0	393	21.0	12	3	0.75
432.0	50	390	21.5	12	3	0.77083
433.0	90	380	22.0	12	3	0.79167
434.0	98	375	21.8	12	3	0.78333
435.0	103	372	21.7	12	3	0.77917
436.0	100	370	21.6	12	3	0.775
437.0	98	372	21.5	12	3	0.77083
438.0	102	370	21.2	12	3	0.75833
439.0	97	373	21.8	12	3	0.78333
440.0	103	372	21.6	12	3	0.775
441.0	96	372	21.5	12	3	0.77083
442.0	100	380	21.0	12	3	0.75
443.0	50	390	21.4	12	3	0.76667
444.0	0	392	20.5	12	3	0.72917
445.0	0	391	20.9	12	3	0.74583
446.0	0	390	21.0	12	3	0.75
447.0	0	390	21.1	12	3	0.75417
448.0	0	390	21.0	12	3	0.75
449.0	0	390	20.8	12	3	0.74167
450.0	0	390	21.1	12	3	0.75417
451.0	0	392	21.3	12	3	0.7625
452.0	0	390	21.2	12	3	0.75833
453.0	0	392	21.1	12	3	0.75417
454.0	0	391	21.1	12	3	0.75417
455.0	0	393	21.0	12	3	0.75
456.0	50	390	21.5	12	3	0.77083
457.0	90	380	22.0	12	3	0.79167
458.0	98	375	21.8	12	3	0.78333
459.0	103	372	21.7	12	3	0.77917
460.0	100	370	21.6	12	3	0.775
461.0	98	372	21.5	12	3	0.77083
462.0	102	370	21.2	12	3	0.75833
463.0	97	373	21.8	12	3	0.78333
464.0	103	372	21.6	12	3	0.775
465.0	96	372	21.5	12	3	0.77083
466.0	100	380	21.0	12	3	0.75
467.0	50	390	21.4	12	3	0.76667
468.0	0	392	20.5	12	3	0.72917
469.0	0	391	20.9	12	3	0.74583
470.0	0	390	21.0	12	3	0.75
471.0	0	390	21.1	12	3	0.75417
472.0	0	390	21.0	12	3	0.75
473.0	0	390	20.8	12	3	0.74167
474.0	0	390	21.1	12	3	0.75417
475.0	0	392	21.3	12	3	0.7625
476.0	0	390	21.2	12	3	0.75833
477.0	0	392	21.1	12	3	0.75417
478.0	0	391	21.1	12	3	0.75417
479.0	0	393	21.0	12	3	0.75
480.0	50	390	21.5	12	3	0.77083
481.0	90	380	22.0	12	3	0.79167
482.0	98	375	21.8	12	3	0.78333
483.0	103	372	21.7	12	3	0.77917
484.0	100	370	21.6	12	3	0.775
485.0	98	372	21.5	12	3	0.77083
486.0	102	370	21.2	12	3	0.75833
487.0	97	373	21.8	12	3	0.78333
488.0	103	372	21.6	12	3	0.775
489.0	96	372	21.5	12	3	0.77083
490.0	100	380	21.0	12	3	0.75
491.0	50	390	21.4	12	3	0.76667
492.0	0	392	20.5	12	3	0.72917
493.0	0	391	20.9	12	3	0.74583
494.0	0	390	21.0	12	3	0.75
495.0	0	390	21.1	12	3	0.75417
496.0	0	390	21.0	12	3	0.75
497.0	0	390	20.8	12	3	0.74167
498.0	0	390	21.1	12	3	0.75417
499.0	0	392	21.3	12	3	0.7625
500.0	0	390	21.2	12	3	0.75833
501.0	0	392	21.1	12	3	0.75417
502.0	0	391	21.1	12	3	0.75417
503.0	0	393	21.0	12	3	0.75
504.0	50	390	21.5	12	3	0.77083
505.0	90	380	22.0	12	3	0.79167
506.0	98	375	21.8	12	3	0.78333
507.0	103	372	21.7	12	3	0.77917
508.0	100	370	21.6	12	3	0.775
509.0	98	372	21.5	12	3	0.77083
510.0	102	370	21.2	12	3	0.75833
511.0	97	373	21.8	12	3	0.78333
512.0	103	372	21.6	12	3	0.775
513.0	96	372	21.5	12	3	0.77083
514.0	100	380	21.0	12	3	0.75
515.0	50	390	21.4	12	3	0.76667
516.0	0	392	20.5	12	3	0.72917
517.0	0	391	20.9	12	3	0.74583
518.0	0	390	21.0	12	3	0.75
519.0	0	390	21.1	12	3	0.75417
520.0	0	390	21.0	12	3	0.75
521.0	0	390	20.8	12	3	0.74167
522.0	0	390	21.1	12	3	0.75417
523.0	0	392	21.3	12	3	0.7625
524.0	0	390	21.2	12	3	0.75833
525.0	0	392	21.1	12	3	0.75417
526.0	0	391	21.1	12	3	0.75417
527.0	0	393	21.0	12	3	0.75
528.0	50	390	21.5	12	3	0.77083
529.0	90	380	22.0	12	3	0.79167
530.0	98	375	21.8	12	3	0.78333
531.0	103	372	21.7	12	3	0.77917
532.0	100	370	21.6	12	3	0.775
533.0	98	372	21.5	12	3	0.77083
534.0	102	370	21.2	12	3	0.75833
535.0	97	373	21.8	12	3	0.78333
536.0	103	372	21.6	12	3	0.775
537.0	96	372	21.5	12	3	0.77083
538.0	100	380	21.0	12	3	0.75
539.0	50	390	21.4	12	3	0.76667
540.0	0	392	20.5	12	3	0.72917
541.0	0	391	20.9	12	3	0.74583
542.0	0	390	21.0	12	3	0.75
543.0	0	390	21.1	12	3	0.75417
544.0	0	390	21.0	12	3	0.75
545.0	0	390	20.8	12	3	0.74167
546.0	0	390	21.1	12	3	0.75417
547.0	0	392	21.3	12	3	0.7625
548.0	0	390	21.2	12	3	0.75833
549.0	0	392	21.1	12	3	0.75417
550.0	0	391	21.1	12	3	0.75417
551.0	0	393	21.0	12	3	0.75
552.0	50	390	21.5	12	3	0.77083
553.0	90	380	22.0	12	3	0.79167
554.0	98	375	21.8	12	3	0.78333
555.0	103	372	21.7	12	3	0.77917
556.0	100	370	21.6	12	3	0.775
557.0	98	372	21.5	12	3	0.77083
558.0	102	370	21.2	12	3	0.75833
559.0	97	373	21.8	12	3	0.78333
560.0	103	372	21.6	12	3	0.775
561.0	96	372	21.5	12	3	0.77083
562.0	100	380	21.0	12	3	0.75
563.0	50	390	21.4	12	3	0.76667
564.0	0	392	20.5	12	3	0.72917
565.0	0	391	20.9	12	3	0.74583
566.0	0	390	21.0	12	3	0.75
567.0	0	390	21.1	12	3	0.75417
568.0	0	390	21.0	12	3	0.75
569.0	0	390	20.8	12	3	0.74167
570.0	0	390	21.1	12	3	0.75417
571.0	0	392	21.3	12	3	0.7625
572.0	0	390	21.2	12	3	0.75833
573.0	0	392	21.1	12	3	0.75417
574.0	0	391	21.1	12	3	0.75417
575.0	0	393	21.0	12	3	0.75
576.0	50	390	21.5	12	3	0.77083
577.0	90	380	22.0	12	3	0.79167
578.0	98	375	21.8	12	3	0.78333
579.0	103	372	21.7	12	3	0.77917
580.0	100	370	21.6	12	3	0.775
581.0	98	372	21.5	12	3	0.77083
582.0	102	370	21.2	12	3	0.75833
583.0	97	373	21.8	12	3	0.78333
584.0	103	372	21.6	12	3	0.775
585.0	96	372	21.5	12	3	0.77083
586.0	100	380	21.0	12	3	0.75
587.0	50	390	21.4	12	3	0.76667
588.0	0	392	20.5	12	3	0.72917
589.0	0	391	20.9	12	3	0.74583
590.0	0	390	21.0	12	3	0.75
591.0	0	390	21.1	12	3	0.75417
592.0	0	390	21.0	12	3	0.75
593.0	0	390	20.8	12	3	0.74167
594.0	0	390	21.1	12	3	0.75417
595.0	0	392	21.3	12	3	0.7625
596.0	0	390	21.2	12	3	0.75833
597.0	0	392	21.1	12	3	0.75417
598.0	0	391	21.1	12	3	0.75417
599.0	0	393	21.0	12	3	0.75
600.0	50	390	21.5	12	3	0.77083
601.0	90	380	22.0	12	3	0.79167
602.0	98	375	21.8	12	3	0.78333
603.0	103	372	21.7	12	3	0.77917
604.0	100	370	21.6	12	3	0.775
605.0	98	372	21.5	12	3	0.77083
606.0	102	370	21.2	12	3	0.75833
607.0	97	373	21.8	12	3	0.78333
608.0	103	372	21.6	12	3	0.775
609.0	96	372	21.5	12	3	0.77083
610.0	100	380	21.0	12	3	0.75
611.0	50	390	21.4	12	3	0.76667
612.0	0	392	20.5	12	3	0.72917
613.0	0	391	20.9	12	3	0.74583
614.0	0	390	21.0	12	3	0.75
615.0	0	390	21.1	12	3	0.75417
616.0	0	390	21.0	12	3	0.75
617.0	0	390	20.8	12	3	0.74167
618.0	0	390	21.1	12	3	0.75417
619.0	0	392	21.3	12	3	0.7625
620.0	0	390	21.2	12	3	0.75833
621.0	0	392	21.1	12	3	0.75417
622.0	0	391	21.1	12	3	0.75417
623.0	0	393	21.0	12	3	0.75
624.0	50	390	21.5	12	3	0.77083
625.0	90	380	22.0	12	3	0.79167
626.0	98	375	21.8	12	3	0.78333
627.0	103	372	21.7	12	3	0.77917
628.0	100	370	21.6	12	3	0.775
629.0	98	372	21.5	12	3	0.77083
630.0	102	370	21.2	12	3	0.75833
631.0	97	373	21.8	12	3	0.78333
632.0	103	372	21.6	12	3	0.775
633.0	96	372	21.5	12	3	0.77083
634.0	100	380	21.0	12	3	0.75
635.0	50	390	21.4	12	3	0.76667
636.0	0	392	20.5	12	3	0.72917
637.0	0	391	20.9	12	3	0.74583
638.0	0	390	21.0	12	3	0.75
639.0	0	390	21.1	12	3	0.75417
640.0	0	390	21.0	12	3	0.75
641.0	0	390	20.8	12	3	0.74167
642.0	0	390	21.1	12	3	0.75417
643.0	0	392	21.3	12	3	0.7625
644.0	0	390	21.2	12	3	0.75833
645.0	0	392	21.1	12	3	0.75417
646.0	0	391	21.1	12	3	0.75417
647.0	0	393	21.0	12	3	0.75
648.0	50	390	21.5	12	3	0.77083
649.0	90	380	22.0	12	3	0.79167
650.0	98	375	21.8	12	3	0.78333
651.0	103	372	21.7	12	3	0.77917
652.0	100	370	21.6	12	3	0.775
653.0	98	372	21.5	12	3	0.77083
654.0	102	370	21.2	12	3	0.75833
655.0	97	373	21.8	12	3	0.78333
656.0	103	372	21.6	12	3	0.775
657.0	96	372	21.5	12	3	0.77083
658.0	100	380	21.0	12	3	0.75
659.0	50	390	21.4	12	3	0.76667
660.0	0	392	20.5	12	3	0.72917
661.0	0	391	20.9	12	3	0.74583
662.0	0	390	21.0	12	3	0.75
663.0	0	390	21.1	12	3	0.75417
664.0	0	390	21.0	12	3	0.75
665.0	0	390	20.8	12	3	0.74167
666.0	0	390	21.1	12	3	0.75417
667.0	0	392	21.3	12	3	0.7625
668.0	0	390	21.2	12	3	0.75833
669.0	0	392	21.1	12	3	0.75417
